model,accuracy,precision,recall,f1,auc,mse,noise_level,noise_seed
logistic_regression,0.8571428571428571,1.0,0.2,0.3333333333333333,0.6618357487922706,0.1211202813215917,,
random_forest,1.0,1.0,1.0,1.0,1.0,0.0094692606376493,,
gradient_boosting,1.0,1.0,1.0,1.0,1.0,0.0001186178057963,,
gradient_boosting,1.0,1.0,1.0,1.0,1.0,8.823983862400216e-05,0.0,42.0
logistic_regression,0.85,1.0,0.16,0.27586206896551724,0.646144927536232,0.12533956390463957,0.0,42.0
random_forest,0.9976190476190476,1.0,0.9866666666666667,0.9932885906040269,0.9998454106280193,0.00874720366543793,0.0,42.0
gradient_boosting,0.9928571428571429,0.9736842105263158,0.9866666666666667,0.9801324503311258,0.9924830917874398,0.005906671260232827,0.05,42.0
logistic_regression,0.85,1.0,0.16,0.27586206896551724,0.6455652173913043,0.12528718394452132,0.05,42.0
random_forest,0.9976190476190476,1.0,0.9866666666666667,0.9932885906040269,0.9972946859903381,0.010137557928205275,0.05,42.0
gradient_boosting,0.9928571428571429,0.9736842105263158,0.9866666666666667,0.9801324503311258,0.9924830917874398,0.005927187444989269,0.1,42.0
logistic_regression,0.85,1.0,0.16,0.27586206896551724,0.642975845410628,0.12532525775863332,0.1,42.0
random_forest,0.9976190476190476,1.0,0.9866666666666667,0.9932885906040269,0.9927729468599035,0.01064032939280494,0.1,42.0
gradient_boosting,0.9952380952380953,0.9866666666666667,0.9866666666666667,0.9866666666666667,0.9924057971014493,0.004249271776462887,0.2,42.0
logistic_regression,0.85,1.0,0.16,0.27586206896551724,0.6353623188405797,0.12567079531356962,0.2,42.0
random_forest,0.9976190476190476,1.0,0.9866666666666667,0.9932885906040269,0.9971207729468599,0.01167501452009885,0.2,42.0
